listing_id,host_id,host_name,host_location,host_is_superhost,neighborhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,estimated_occupancy_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,first_review,last_review,calculated_host_listings_count,host_has_profile_pic,host_identity_verified,has_availability,occupancy_rate,amenities_count,availability_ratio,estimated_occupancy_from_calendar
2992450,4621559,Kenneth,"New York, NY",False,Third Ward,42.65789,-73.7537,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Smoke alarm"", ""Kitchen"", ""Air conditioning"", ""Essentials"", ""TV with standard cable"", ""Wifi"", ""Heating"", ""Carbon monoxide alarm""]",28,1125,0,16,46,321,9,0,0,0,3.56,3.44,3.56,4.22,4.56,3.22,3.67,0.06,2014-07-01,2022-08-17,1,True,True,True,0.0,8,0.8794520547945206,0.1205479452054794
3820211,19648678,Ming,"Albany, NY",True,Sixth Ward,42.65222,-73.76724,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Central air conditioning"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Heating"", ""Smart lock"", ""Pets allowed"", ""HDTV with standard cable, Apple TV"", ""Oven"", ""Noise decibel monitors on property"", ""Essentials"", ""Conditioner"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Free parking on premises"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free dryer \u2013 In unit"", ""Stove""]",1,1125,0,0,26,301,317,10,2,60,4.75,4.88,4.87,4.85,4.81,4.82,4.78,2.26,2014-08-15,2026-01-25,7,True,True,True,0.1643835616438356,33,0.8246575342465754,0.1753424657534246
5651579,29288920,Gregg,"Albany, NY",False,Second Ward,42.64615,-73.75966,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,2.0,"[""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Ceiling fan"", ""Shampoo"", ""Iron"", ""Hot water kettle"", ""Wine glasses"", ""Baking sheet"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Heating"", ""Long term stays allowed"", ""Oven"", ""Backyard"", ""Air conditioning"", ""Toaster"", ""Essentials"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Free parking on premises"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free street parking"", ""Lockbox"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Stove""]",1,1125,18,31,35,35,389,20,2,120,4.51,4.61,4.45,4.81,4.86,4.76,4.63,2.96,2015-05-08,2026-02-06,2,True,True,True,0.3287671232876712,40,0.0958904109589041,0.904109589041096
6015313,31223807,Ryan,"Albany, NY",False,Thirteenth Ward,42.67198,-73.79339,Entire home,Entire home/apt,8,2.0,2 baths,3.0,3.0,"[""Smoke alarm"", ""Kitchen"", ""Gas stove"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Baking sheet"", ""Shampoo"", ""Room-darkening shades"", ""Wine glasses"", ""Free parking garage on premises"", ""Clothing storage"", ""Heating"", ""Stainless steel oven"", ""Washer"", ""EV charger - level 2"", ""Backyard"", ""Air conditioning"", ""Conditioner"", ""Self check-in"", ""Refrigerator"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Keypad""]",2,365,20,45,71,324,0,0,0,0,,,,,,,,,,,1,True,True,True,0.0,33,0.8876712328767123,0.11232876712328765
6623339,19648678,Ming,"Albany, NY",True,Sixth Ward,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""Body soap"", ""Dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Wine glasses"", ""TV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Heating"", ""Washer"", ""Smart lock"", ""Extra pillows and blankets"", ""Pets allowed"", ""Oven"", ""Noise decibel monitors on property"", ""Air conditioning"", ""Patio or balcony"", ""Essentials"", ""Coffee"", ""Clothing storage: closet"", ""Conditioner"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Cleaning products"", ""Stove""]",1,1125,13,43,73,348,332,1,0,6,4.73,4.83,4.71,4.83,4.7,4.8,4.72,2.55,2015-06-07,2025-06-30,7,True,True,True,0.01643835616438356,44,0.9534246575342465,0.046575342465753455
9005989,17766924,Sugey,"Albany, NY",False,Sixth Ward,42.65559,-73.76506,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Pets allowed"", ""Oven"", ""Portable fans"", ""Essentials"", ""Laundromat nearby"", ""Pack \u2019n play/Travel crib"", ""Conditioner"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free street parking"", ""Fire extinguisher"", ""Keypad"", ""Stove""]",1,1125,0,0,0,16,623,13,0,78,4.79,4.86,4.82,4.95,4.93,4.87,4.77,5.37,2016-08-07,2025-08-03,1,True,True,True,0.2136986301369863,33,0.043835616438356165,0.9561643835616438
9501054,29288920,Gregg,"Albany, NY",False,Second Ward,42.64734,-73.75851,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,2.0,"[""Smoke alarm"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Iron"", ""TV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Portable fans"", ""Essentials"", ""Lock on bedroom door"", ""Laundromat nearby"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free street parking"", ""Lockbox""]",1,1125,19,48,75,252,448,38,1,228,4.57,4.72,4.51,4.84,4.87,4.76,4.67,3.67,2016-02-02,2026-01-25,2,True,True,True,0.6246575342465753,28,0.6904109589041096,0.30958904109589036
10768745,5691268,Elizabeth,"Albany, NY",True,Fourteenth Ward,42.66078,-73.80553,Private room in guest suite,Private room,1,1.0,1 private bath,1.0,1.0,"[""Smoke alarm"", ""Ethernet connection"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Iron"", ""TV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Heating"", ""Patio or balcony"", ""Essentials"", ""Lock on bedroom door"", ""Single level home"", ""Free parking on premises"", ""Window AC unit"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Lockbox""]",1,1125,18,47,75,183,871,111,2,255,4.83,4.9,4.79,4.93,4.88,4.93,4.91,7.13,2016-02-05,2026-01-22,2,True,True,True,0.6986301369863014,23,0.5013698630136987,0.4986301369863013
11253948,4259750,Peter,"Albany, NY",True,Fifteenth Ward,42.67567,-73.82438,Entire place,Entire home/apt,10,2.0,2 baths,3.0,4.0,"[""Shower gel"", ""Coffee maker"", ""Hair dryer"", ""GE stainless steel gas stove"", ""Luggage dropoff allowed"", ""65 inch HDTV with Roku, premium cable, Amazon Prime Video, standard cable, Apple TV, Netflix, Hulu"", ""Stainless steel oven"", ""Rice maker"", ""Pets allowed"", ""Exterior security cameras on property"", ""Toaster"", ""Coffee"", ""Window AC unit"", ""Sonos sound system with Bluetooth and aux"", ""Sun loungers"", ""Indoor fireplace: gas"", ""Dishwasher"", ""Clothing storage: walk-in closet and wardrobe"", ""Ethernet connection"", ""Outdoor dining area"", ""Cooking basics"", ""Iron"", ""Room-darkening shades"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Essentials"", ""Books and reading material"", ""Conditioner"", ""Free washer \u2013 In unit"", ""Free parking on premises"", ""Hangers"", ""Refrigerator"", ""Fire extinguisher"", ""Cleaning products"", ""Kitchen"", ""Wifi"", ""Hot water"", ""Private entrance"", ""Private backyard \u2013 Not fully fenced"", ""Bed linens"", ""Bathtub"", ""Ceiling fan"", ""Baking sheet"", ""Safe"", ""BBQ grill"", ""Portable fans"", ""Outdoor furniture"", ""Self check-in"", ""Blender"", ""Babysitter recommendations"", ""Freezer"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Keypad"", ""High chair"", ""Outlet covers"", ""Smoke alarm"", ""Private patio or balcony"", ""Baby safety gates"", ""Body soap"", ""Fire pit"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water kettle"", ""Dining table"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Garden view"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Barbecue utensils"", ""Baby bath"", ""Dishes and silverware"", ""Game console"", ""Board games"", ""Cleaning available during stay""]",1,1124,30,60,90,362,220,43,3,255,4.96,4.94,4.98,4.99,4.97,4.94,4.88,1.86,2016-05-29,2026-02-11,8,True,True,True,0.6986301369863014,80,0.9917808219178083,0.008219178082191747
11639446,61700428,Abdullah,"Albany, NY",False,Eleventh Ward,42.67583,-73.78297,Private room in home,Private room,1,1.5,1.5 shared baths,0.0,1.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Gas stove"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Shampoo"", ""Host greets you"", ""Safe"", ""Free dryer \u2013 In building"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Oven"", ""Essentials"", ""Books and reading material"", ""Clothing storage: closet"", ""First aid kit"", ""Conditioner"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Free washer \u2013 In building"", ""Free street parking"", ""Breakfast""]",15,112,29,59,89,364,231,0,0,0,4.81,4.87,4.37,4.94,4.96,4.52,4.87,1.95,2016-05-31,2024-02-29,2,True,True,True,0.0,28,0.9972602739726028,0.002739726027397249
